lugar_de_instalacion,lat,lon,formatted_address
"Au.6 Autopista P. Moreno km 4,9 carril 2, 3 y 4 asc. CABA",,,
"Av. 9 de Julio sur km 1,8 (sentido hacia provincia), Ciudad Autónoma de Buenos Aires.",,,
"Av. 9 de Julio Sur km 1,8",,,
"Av. 9 de Julio Sur km 1,8, sentido de circulación: hacia Pcia.",,,
"Av. Cantilo km 8,5 - CABA",,,
"Autopista Illia, km 1,2, CABA, sentido de circulación: hacia provincia",,,
"Autopista Illia, km 1,2, CABA, sentido de circulación: hacia Capital",,,
"Autopista Illia km 1,2, carril 3- Ciudad Autónoma de Buenos 
Aires,Ascendente",,,
"au. Illia 1,2 - Carril 3 - CABA - Descendente",,,
"Av. Cantilo km 8,5, Ciudad Autónoma de Buenos Aires.",,,
"Av. Del Libertador 7725 (carril 2), CABA asc",,,
Av. Del Libertador 7725 Asc. Ciudad Autónoma de Buenos Aires,,,
"Galvan Nº 3640, CABA",,,
"Av. Lugones km 8,5, Ciudad Autónoma de Buenos Aires.",,,
"Av. Lugones km 8,7, CABA, sentido: único Carril 5",,,
"Av. Leopoldo Lugones km 8,5 carril 5 - desc. CABA",,,
"AV. Independencia 2662, CABA",,,
"Av. 9 de Julio sur km 1,8 (sentido hacia Capital), Ciudad Autónoma de Buenos Aires.",,,
"Av. Del Libertador 7725 (carril 3), CABA asc",,,
"Ex. ruta Provincial Nº 7, km 1,8, Neuquén, Pcia. de Neuquén, sentido de circulación: descendente, Centenario - Neuquén",,,
"Av. A.M. García 9171, carril 2, asc. Tigre",,,
"Av. A.M. García 9171, Tigre, bs as. Asc",,,
Av. A. M. Garcia 9171 - carril 2 - asc. Tigre,,,
"Corredor Vial Bancalari, km 2,0, carril 2 desc. Tigre",,,
Corredor Bacalari km 2 carril 2 - desc. Tigre,,,
Corredor vial Bacalari km 2 carril 2 - desc. Tigre,,,
"Ing. Dinkeldein Nº 1335 (carril central) sentido único. Río 
Cuarto,Córdoba",,,
"Ing. Dinkeldein Nº 1335 (carril central) sentido único. Río Cuarto, Córdoba",,,
"Gral. José Garibaldi Nº 1100 (sentido decreciente), Río 
Cuarto,Córdoba",,,
"Gral. José Garibaldi Nº 1100 (sentido decreciente), Río Cuarto, Córdoba",,,
"Wenceslao Tejerina Norte Nº 961 (sentido de norte a sur hacia el centro), Río Cuarto, Córdoba",,,
"Autopista Illia km 1,2 (sentido hacia Capital), Ciudad Autónoma de Buenos Aires.",,,
"Autopista Illia km 1,2, Ciudad Autónoma de Buenos Aires, sentido de circulación hacia el centro.",,,
"Au. Illia km 1,2 carril 3 - Sentido centro CABA",,,
"Au. Illia km 1,2 carril 3 - desc. CABA",,,
"Ruta Nacional N° 34 - km 95,4 (carril sentido descendente), en jurisdicción de la localidad de Centeno, provincia de Santa Fe",,,
"Ruta Nacional N° 34 - km 95,4 (carril sentido ascendente), en jurisdicción de la localidad de Centeno, provincia de Santa Fe",,,
"Avenida 27 de Febrero 5800 (sentido hacia el Centro), Ciudad Autónoma de Buenos Aires.",,,
"Av. 27 de Febrero Nº 5800, CABA, sentido: hacia Puente Alsina.",,,
Av. 27 de Febrero 5800 hacia Puente. Alsina,,,
"Avenida 27 de Febrero 5800 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Av. 27 de Febrero Nº 5800, CABA, sentido: hacia Puente La Noria.",,,
